X,P1,P2,P3,P4,P5
7.567179899999999861e+02,1.895555541992187500e+03,2.413835693359375000e+03,2.904902099609375000e+03,3.353908203125000000e+03,1.745454101562500000e+03
7.603566749999999956e+02,1.929158081054687500e+03,2.426743408203125000e+03,2.966750976562500000e+03,3.408979003906250000e+03,1.752116943359375000e+03
7.639953600000000051e+02,1.962542236328125000e+03,2.439371582031250000e+03,3.028779052734375000e+03,3.462889648437500000e+03,1.758587768554687500e+03
7.676340440000000171e+02,1.995651489257812500e+03,2.450426513671875000e+03,3.089807373046875000e+03,3.516362060546875000e+03,1.766032592773437500e+03
7.712727290000000266e+02,2.028635131835937500e+03,2.462552246093750000e+03,3.151189453125000000e+03,3.569674804687500000e+03,1.772138671875000000e+03
7.749114140000000361e+02,2.061657470703125000e+03,2.474728271484375000e+03,3.212134277343750000e+03,3.623577880859375000e+03,1.778287597656250000e+03
7.785500990000000456e+02,2.143121582031250000e+03,2.519100341796875000e+03,3.284334472656250000e+03,3.578599609375000000e+03,1.854479858398437500e+03
7.821887829999999440e+02,2.174064697265625000e+03,2.559715087890625000e+03,3.283106445312500000e+03,3.637498046875000000e+03,1.894348022460937500e+03
7.858274679999999535e+02,2.170397949218750000e+03,2.551271972656250000e+03,3.299161376953125000e+03,3.644674804687500000e+03,1.814782348632812500e+03
7.894661529999999630e+02,2.211689697265625000e+03,2.600009033203125000e+03,3.320541015625000000e+03,3.742507812500000000e+03,1.800110107421875000e+03
7.931048379999999725e+02,2.148691650390625000e+03,2.586903808593750000e+03,3.295303222656250000e+03,3.654215820312500000e+03,1.827666503906250000e+03
7.967435219999999845e+02,2.272656005859375000e+03,2.571609619140625000e+03,3.315492675781250000e+03,3.678190917968750000e+03,1.827250000000000000e+03
8.003822069999999940e+02,2.282269287109375000e+03,2.510303955078125000e+03,3.400109619140625000e+03,3.659523437500000000e+03,1.789996093750000000e+03
8.040208920000000035e+02,2.285384765625000000e+03,2.550675537109375000e+03,3.365664794921875000e+03,3.673846435546875000e+03,1.794739624023437500e+03
8.076595770000000130e+02,2.340909179687500000e+03,2.649550292968750000e+03,3.307502685546875000e+03,3.716458496093750000e+03,1.837633056640625000e+03
8.112982610000000250e+02,2.350312500000000000e+03,2.653931396484375000e+03,3.447882568359375000e+03,3.755997802734375000e+03,1.909153442382812500e+03
8.149369460000000345e+02,2.338595947265625000e+03,2.634233398437500000e+03,3.402712646484375000e+03,3.646101074218750000e+03,1.879828857421875000e+03
8.185756310000000440e+02,2.244241455078125000e+03,2.569099121093750000e+03,3.337387695312500000e+03,3.623207275390625000e+03,1.772548461914062500e+03
8.222143160000000535e+02,2.321499755859375000e+03,2.603000244140625000e+03,3.372930419921875000e+03,3.746987304687500000e+03,1.787790039062500000e+03
